famsize;Pstatus;Medu;Fedu;Mjob;Fjob;guardian;studytime;schoolsup;famsup;paid;activities;nursery;higher;internet;freetime;health;OutMarker;OutMarker2;OutMarker3
GT3;T;4;2;services;other;mother;2;no;yes;no;no;yes;yes;yes;2;5;15;16;16
GT3;T;4;4;health;teacher;mother;2;no;yes;no;yes;yes;yes;no;4;4;10;11;11
GT3;T;1;1;services;services;father;1;yes;yes;no;yes;no;yes;yes;5;5;10;8;11
LE3;T;1;2;other;services;father;2;yes;no;no;yes;yes;yes;yes;4;1;8;10;9
GT3;T;4;3;teacher;health;mother;3;yes;yes;yes;yes;yes;yes;yes;4;4;10;9;9
LE3;T;4;3;services;services;father;2;yes;no;no;yes;yes;yes;yes;4;2;10;10;10
LE3;T;4;3;teacher;services;mother;2;no;yes;no;yes;yes;yes;yes;4;1;16;15;15
GT3;A;4;4;other;services;mother;4;no;yes;no;yes;no;yes;yes;3;3;13;13;12
GT3;T;3;1;services;other;mother;4;yes;yes;yes;no;yes;yes;yes;3;5;7;7;6
LE3;T;2;2;health;services;mother;2;yes;yes;yes;no;yes;yes;yes;1;4;8;9;8
LE3;T;3;1;other;other;father;4;no;yes;no;no;no;yes;yes;4;3;16;16;16
GT3;T;3;1;other;other;father;4;no;yes;yes;no;yes;yes;yes;3;5;13;15;15
GT3;T;4;2;other;other;mother;4;no;no;no;no;yes;yes;yes;3;3;10;10;10
GT3;T;1;1;other;other;mother;2;yes;yes;no;no;no;yes;yes;3;5;8;6;5
GT3;T;3;1;other;other;mother;1;no;no;no;yes;yes;yes;no;3;5;12;12;14
GT3;T;3;3;other;services;mother;2;yes;yes;yes;yes;yes;yes;yes;3;5;11;12;11
GT3;T;4;3;teacher;other;mother;2;no;yes;yes;yes;yes;yes;yes;3;5;9;9;10
GT3;T;4;0;teacher;other;mother;4;no;no;no;yes;yes;yes;yes;4;1;11;11;10
GT3;T;2;2;other;other;mother;4;no;no;yes;no;yes;yes;yes;2;3;11;11;11
GT3;T;2;1;other;other;mother;1;yes;yes;no;yes;yes;no;yes;5;3;8;8;10
GT3;T;3;4;at_home;other;mother;2;no;yes;no;no;yes;yes;yes;4;3;5;5;5
GT3;T;2;3;other;services;father;1;yes;yes;yes;yes;no;yes;yes;2;3;10;12;12
GT3;T;2;3;other;other;mother;3;yes;no;yes;no;no;yes;yes;3;5;11;10;11
LE3;T;3;2;services;other;mother;2;no;yes;yes;no;yes;yes;yes;4;5;7;6;6
LE3;T;2;2;services;services;mother;2;no;no;yes;yes;yes;yes;yes;3;4;15;15;15
GT3;T;1;1;other;other;father;2;no;yes;no;yes;no;yes;yes;3;4;9;10;10
GT3;T;4;4;services;services;father;2;no;no;yes;no;yes;yes;yes;4;5;7;9;8
LE3;T;2;2;at_home;other;mother;2;no;yes;no;no;yes;yes;no;3;2;8;7;6
GT3;T;4;2;other;other;mother;3;no;yes;no;yes;yes;yes;yes;3;1;13;14;14
GT3;T;2;2;services;other;father;2;no;no;yes;yes;no;yes;yes;4;3;11;10;10
LE3;A;4;4;teacher;health;mother;2;no;yes;no;no;yes;yes;no;1;5;8;6;7
GT3;T;3;3;other;other;mother;3;no;yes;yes;no;yes;yes;yes;3;4;7;7;8
GT3;T;4;3;services;other;mother;1;no;no;yes;yes;yes;yes;yes;5;1;16;17;18
LE3;T;3;1;other;other;father;2;yes;yes;no;no;yes;yes;no;3;2;7;6;6
GT3;T;4;2;teacher;services;mother;2;no;yes;yes;yes;yes;yes;yes;3;1;11;10;10
LE3;T;2;2;services;health;mother;4;no;yes;no;yes;yes;yes;yes;3;4;11;13;14
GT3;T;1;1;at_home;other;mother;4;yes;yes;yes;yes;yes;yes;yes;1;1;7;10;10
GT3;T;4;3;services;other;mother;1;yes;yes;no;yes;no;yes;yes;3;4;11;15;15
GT3;T;2;1;other;other;mother;2;no;yes;yes;no;yes;yes;no;3;5;8;9;10
GT3;T;4;4;other;other;mother;1;no;no;no;yes;no;yes;yes;3;1;11;14;14
GT3;T;4;3;other;at_home;mother;3;yes;yes;yes;no;yes;yes;yes;3;3;7;9;8
GT3;T;4;4;services;services;mother;1;yes;yes;yes;yes;yes;yes;yes;5;4;7;7;5
GT3;T;4;4;services;teacher;father;3;no;yes;no;yes;yes;yes;yes;4;4;16;17;17
GT3;T;4;4;services;other;mother;1;no;yes;no;yes;no;yes;yes;3;5;10;13;14
GT3;T;3;2;services;other;mother;2;yes;yes;yes;no;yes;yes;yes;3;2;7;6;6
GT3;A;3;4;services;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;1;16;18;18
GT3;A;3;3;other;health;father;4;yes;no;no;no;yes;yes;no;3;4;10;11;11
GT3;T;2;2;other;other;mother;4;yes;yes;yes;no;yes;yes;yes;1;3;7;8;8
GT3;T;3;3;services;other;father;3;no;yes;no;yes;yes;yes;yes;3;5;16;18;18
GT3;T;4;4;other;other;father;4;no;yes;yes;yes;yes;yes;yes;3;1;10;13;13
LE3;T;4;4;health;health;mother;3;no;yes;yes;yes;yes;yes;yes;4;4;14;15;16
LE3;A;4;4;teacher;teacher;mother;1;no;no;no;yes;yes;yes;yes;5;4;18;19;19
GT3;T;3;3;services;other;father;3;yes;yes;no;yes;yes;yes;yes;1;2;7;10;10
GT3;T;2;2;at_home;other;mother;2;yes;no;no;yes;yes;yes;yes;1;5;10;13;13
LE3;T;4;2;teacher;other;mother;1;no;no;no;no;yes;yes;yes;5;3;18;19;19
GT3;T;2;1;health;services;mother;2;no;no;no;yes;yes;yes;yes;4;5;9;9;9
GT3;T;4;4;teacher;teacher;father;2;no;yes;no;yes;yes;yes;yes;4;5;15;15;16
GT3;T;4;4;other;teacher;father;2;no;yes;no;yes;yes;yes;no;4;2;11;13;14
GT3;T;3;3;other;services;father;1;no;no;no;yes;yes;yes;yes;4;5;13;14;13
GT3;T;1;3;other;other;father;2;no;yes;no;yes;yes;yes;yes;2;5;9;7;8
GT3;T;3;4;other;other;father;1;no;no;no;no;yes;yes;yes;4;4;14;13;13
GT3;T;1;2;at_home;services;mother;2;no;no;no;no;no;yes;yes;2;1;16;15;15
GT3;T;2;2;services;services;father;4;no;yes;yes;yes;yes;yes;yes;5;5;16;14;15
LE3;T;2;4;other;health;father;2;no;yes;yes;yes;yes;yes;yes;2;5;13;13;13
GT3;T;4;4;health;other;mother;1;no;yes;no;yes;yes;yes;yes;4;5;14;11;13
GT3;T;2;2;other;other;mother;2;no;no;yes;no;yes;yes;yes;4;5;8;7;8
GT3;T;3;4;services;services;father;1;yes;no;no;no;yes;yes;yes;5;5;13;13;12
LE3;A;3;4;other;other;mother;2;yes;no;no;yes;yes;yes;yes;3;1;7;10;11
GT3;T;0;1;at_home;other;other;2;no;yes;no;no;no;no;no;4;5;7;8;9
GT3;T;2;2;services;other;mother;1;no;yes;no;yes;yes;yes;yes;3;4;7;4;0
GT3;T;4;4;teacher;teacher;mother;1;no;no;yes;yes;yes;yes;yes;5;4;18;18;18
GT3;T;3;4;services;teacher;father;3;no;yes;no;no;yes;yes;yes;2;5;12;0;0
GT3;T;1;1;at_home;other;mother;1;no;yes;no;yes;no;yes;yes;3;4;8;0;0
LE3;T;2;2;other;other;father;1;no;yes;no;no;yes;yes;yes;4;5;10;13;12
GT3;A;3;4;services;other;father;1;no;no;no;no;yes;yes;yes;2;5;12;11;11
GT3;T;3;4;at_home;teacher;mother;2;no;yes;no;no;yes;yes;no;3;5;9;0;0
GT3;T;4;4;services;at_home;mother;3;no;yes;no;yes;yes;yes;yes;3;5;11;0;0
GT3;T;3;4;at_home;other;mother;2;no;no;no;no;yes;yes;no;4;5;10;0;0
GT3;A;3;3;other;other;other;1;no;yes;no;yes;no;yes;yes;3;5;4;0;0
LE3;T;1;1;services;other;mother;2;no;no;no;no;yes;yes;no;4;5;14;12;12
GT3;T;4;4;teacher;teacher;mother;1;no;no;no;yes;yes;yes;yes;3;5;16;16;15
GT3;T;4;3;teacher;services;father;4;yes;yes;no;no;yes;yes;yes;2;3;7;9;0
LE3;T;2;2;services;services;father;1;no;yes;no;yes;yes;yes;yes;3;2;9;9;9
GT3;T;4;4;teacher;services;mother;3;no;yes;yes;yes;yes;yes;yes;2;5;9;11;11
LE3;T;1;1;at_home;at_home;mother;1;no;no;no;no;yes;yes;yes;4;1;14;14;13
GT3;T;2;1;other;other;mother;1;no;yes;no;no;yes;yes;yes;4;5;5;0;0
GT3;T;1;1;other;services;father;2;no;yes;yes;no;yes;yes;yes;4;5;8;11;11
GT3;T;3;2;health;services;father;2;no;yes;no;no;yes;yes;yes;3;3;6;7;0
GT3;T;1;2;at_home;other;mother;2;no;yes;yes;no;no;yes;yes;3;5;10;11;11
GT3;T;4;4;teacher;teacher;mother;1;no;yes;no;no;yes;no;yes;3;5;7;6;0
LE3;A;2;1;services;other;mother;1;no;no;no;no;yes;yes;yes;5;5;8;9;10
LE3;T;1;1;other;other;mother;1;no;no;no;no;yes;no;yes;3;4;6;5;0
LE3;T;2;1;at_home;other;mother;1;no;no;no;yes;yes;yes;no;4;5;12;13;14
GT3;T;3;3;services;services;other;3;no;yes;yes;yes;yes;yes;yes;2;3;10;10;10
GT3;T;3;2;services;at_home;mother;1;no;yes;no;no;yes;no;yes;5;4;5;0;0
GT3;T;4;4;other;teacher;mother;1;yes;yes;no;no;yes;yes;no;2;4;11;11;12
GT3;T;2;3;at_home;services;mother;2;yes;no;yes;yes;yes;yes;no;4;1;11;8;8
LE3;T;1;2;other;other;mother;1;no;no;no;no;yes;yes;no;2;5;16;12;13
GT3;T;1;1;at_home;other;mother;1;no;yes;no;yes;no;yes;no;2;4;9;8;10
GT3;T;2;2;at_home;other;mother;1;no;no;no;no;no;yes;no;2;3;17;15;15
GT3;T;3;3;other;services;father;2;no;yes;yes;no;yes;yes;yes;5;5;10;12;12
LE3;T;2;1;at_home;other;mother;1;no;no;no;yes;yes;no;yes;3;5;7;6;0
GT3;T;3;2;other;other;mother;2;yes;yes;no;no;yes;yes;yes;4;3;5;9;7
LE3;T;1;2;other;other;mother;1;no;no;no;yes;yes;yes;no;4;5;7;0;0
GT3;T;1;3;at_home;services;father;1;no;no;no;no;yes;no;yes;3;2;10;10;10
LE3;T;1;1;other;services;mother;2;no;no;no;yes;yes;no;no;3;5;5;8;7
GT3;T;3;2;services;services;mother;1;no;yes;no;yes;no;no;no;5;2;12;11;12
GT3;T;2;2;other;other;father;2;no;no;no;no;yes;no;yes;3;4;10;10;10
GT3;T;4;2;health;services;father;2;no;no;yes;no;yes;yes;yes;2;3;14;15;16
GT3;T;2;2;other;other;mother;2;no;yes;yes;no;no;yes;yes;1;4;6;7;0
GT3;T;4;4;health;health;mother;2;no;yes;yes;no;yes;yes;yes;4;3;14;14;14
GT3;T;3;4;other;other;father;1;no;yes;no;yes;no;yes;yes;4;2;6;5;0
GT3;T;1;0;other;other;mother;2;no;yes;yes;yes;yes;yes;yes;3;3;13;15;16
LE3;T;4;4;teacher;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;5;13;11;10
GT3;T;1;3;at_home;services;mother;2;no;no;no;yes;no;yes;yes;3;3;8;7;0
LE3;T;3;3;other;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;4;10;11;9
LE3;T;4;3;teacher;other;mother;2;no;no;yes;yes;yes;yes;yes;4;4;10;9;9
GT3;T;2;2;services;other;mother;2;no;no;yes;yes;no;yes;yes;4;5;13;13;11
GT3;T;3;3;other;other;father;2;no;no;no;yes;no;yes;yes;3;4;6;5;6
GT3;T;4;2;teacher;services;mother;1;no;yes;no;yes;yes;yes;yes;3;3;10;8;9
GT3;T;4;3;other;other;mother;2;no;yes;no;yes;yes;yes;yes;2;2;10;10;11
GT3;T;4;3;teacher;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;3;9;8;8
GT3;T;3;3;services;other;mother;2;no;no;yes;yes;yes;yes;yes;2;3;12;13;12
GT3;T;2;4;services;services;father;2;no;yes;no;yes;yes;yes;no;4;5;16;17;17
LE3;T;3;3;other;other;mother;2;no;yes;no;yes;yes;yes;yes;3;1;9;9;8
GT3;T;3;2;other;other;mother;2;no;yes;yes;no;yes;yes;yes;2;1;12;13;12
GT3;T;3;3;services;services;mother;2;no;yes;no;yes;yes;yes;yes;3;4;12;12;11
GT3;T;1;2;services;services;mother;1;no;yes;yes;yes;yes;yes;yes;3;3;11;12;11
LE3;T;2;1;other;other;mother;2;no;no;yes;yes;yes;yes;yes;2;5;15;15;15
GT3;A;3;3;health;other;mother;2;no;yes;no;no;no;yes;yes;3;3;8;7;9
GT3;T;1;2;at_home;other;mother;2;no;no;no;no;yes;yes;no;1;3;8;9;10
GT3;T;2;3;services;services;mother;2;no;no;no;no;yes;yes;yes;3;2;11;12;13
GT3;T;1;1;at_home;services;mother;2;no;no;no;yes;yes;yes;yes;3;3;8;8;9
GT3;T;1;2;at_home;services;other;2;no;no;yes;yes;no;yes;yes;4;5;7;8;8
GT3;T;3;3;services;services;mother;1;no;yes;no;yes;yes;yes;yes;3;5;8;9;10
GT3;T;2;3;other;other;father;1;no;no;no;no;yes;yes;yes;3;3;13;14;14
LE3;T;2;4;services;services;father;2;no;no;no;yes;yes;yes;yes;3;5;14;15;15
GT3;T;4;4;services;teacher;mother;1;no;no;no;no;yes;yes;yes;2;5;17;15;16
LE3;T;3;3;teacher;other;father;1;no;yes;yes;yes;yes;yes;yes;3;3;9;9;10
GT3;T;4;4;services;teacher;mother;1;no;yes;no;no;yes;yes;yes;2;2;18;18;18
LE3;T;4;4;teacher;teacher;mother;2;no;yes;yes;no;yes;yes;yes;5;3;9;9;10
GT3;T;4;3;health;other;mother;2;no;yes;no;yes;yes;yes;yes;3;2;16;16;16
GT3;T;2;3;other;other;mother;2;yes;yes;yes;yes;yes;yes;no;4;4;8;10;10
GT3;T;1;1;other;other;mother;2;no;yes;yes;no;no;yes;no;4;1;9;9;10
GT3;T;2;2;other;other;mother;1;no;yes;no;no;yes;yes;yes;3;3;7;6;6
GT3;T;2;2;services;services;mother;4;no;yes;yes;yes;no;yes;yes;3;5;10;10;11
GT3;T;3;4;at_home;services;mother;3;no;yes;yes;no;yes;yes;yes;4;5;10;9;9
GT3;A;3;1;services;other;mother;2;no;yes;yes;no;yes;yes;yes;3;4;7;7;7
GT3;T;4;3;teacher;other;mother;2;no;no;yes;yes;yes;yes;yes;3;1;11;12;13
GT3;T;1;1;at_home;other;mother;1;no;yes;yes;no;yes;yes;no;3;5;9;9;10
GT3;T;4;3;teacher;other;mother;3;no;yes;yes;yes;yes;yes;yes;4;4;7;7;7
GT3;T;3;3;other;other;other;4;no;yes;yes;yes;yes;yes;yes;3;3;8;8;8
LE3;T;4;4;services;other;mother;2;no;yes;yes;no;yes;yes;yes;3;3;12;12;13
GT3;A;2;2;other;other;mother;2;yes;yes;yes;no;yes;yes;yes;3;4;12;13;14
GT3;T;2;2;services;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;5;6;7;8
LE3;T;4;4;services;other;mother;1;no;yes;yes;no;yes;yes;no;2;3;8;10;10
LE3;T;3;2;other;other;mother;2;no;no;yes;no;yes;yes;yes;4;1;14;15;15
GT3;T;4;3;other;other;mother;2;no;no;yes;no;yes;yes;yes;4;1;6;6;4
LE3;T;3;3;services;health;father;2;no;yes;yes;no;yes;yes;yes;2;4;6;6;8
GT3;T;2;3;at_home;other;father;1;no;yes;yes;no;yes;yes;no;3;3;7;7;8
GT3;T;2;2;at_home;at_home;mother;3;no;yes;yes;yes;yes;yes;yes;3;4;9;10;10
GT3;T;2;1;at_home;services;mother;2;no;yes;no;yes;yes;yes;yes;2;5;6;6;6
GT3;T;1;1;at_home;other;mother;3;no;yes;no;yes;yes;yes;no;3;5;6;5;0
GT3;T;2;3;services;teacher;mother;2;yes;no;no;no;yes;yes;yes;3;3;16;16;17
GT3;T;2;2;other;other;mother;2;no;yes;yes;no;yes;yes;yes;3;4;12;13;13
GT3;T;4;4;teacher;services;mother;3;no;yes;no;yes;no;yes;yes;3;5;13;13;14
GT3;T;3;1;other;other;mother;2;no;no;no;yes;yes;yes;yes;3;4;9;8;7
GT3;T;3;2;other;other;mother;2;no;no;no;yes;no;yes;yes;3;3;16;15;15
LE3;T;2;3;services;services;father;2;no;yes;yes;no;no;yes;yes;3;3;12;11;12
LE3;T;2;1;at_home;other;mother;2;yes;yes;yes;yes;yes;yes;yes;3;3;10;8;9
GT3;A;2;1;other;other;mother;3;no;no;no;yes;yes;yes;yes;2;3;12;10;12
LE3;T;4;3;health;other;father;2;no;no;no;yes;yes;yes;yes;2;3;13;13;14
GT3;T;2;2;other;other;father;2;no;yes;yes;yes;yes;yes;yes;5;1;11;11;11
GT3;T;4;4;teacher;teacher;mother;2;yes;yes;no;yes;yes;yes;yes;5;2;11;9;9
GT3;T;4;4;health;other;father;2;no;yes;yes;yes;yes;yes;yes;2;1;14;13;13
LE3;T;1;1;other;other;mother;2;no;yes;yes;no;yes;yes;yes;4;5;9;7;6
GT3;T;3;2;at_home;other;mother;3;no;no;no;yes;yes;yes;yes;3;2;11;9;10
LE3;T;2;2;other;other;father;2;no;no;yes;yes;no;yes;yes;4;4;14;13;13
GT3;T;2;1;other;other;mother;1;no;no;no;no;yes;yes;yes;5;5;13;12;12
GT3;T;2;1;at_home;services;mother;2;no;no;no;yes;yes;yes;no;1;3;13;11;11
GT3;T;2;2;other;services;father;2;no;no;no;no;yes;no;yes;5;2;7;7;0
LE3;T;4;3;health;other;mother;2;no;no;no;yes;yes;yes;yes;5;5;12;12;12
LE3;A;4;4;teacher;other;mother;2;no;yes;yes;no;yes;yes;yes;3;4;10;11;12
LE3;T;4;3;teacher;other;mother;1;no;no;no;yes;no;yes;yes;4;3;6;0;0
GT3;T;4;4;services;services;mother;1;no;no;no;yes;yes;yes;yes;3;5;13;12;12
GT3;T;2;1;other;other;other;3;no;yes;yes;no;no;yes;yes;4;3;7;0;0
GT3;T;2;1;other;other;mother;1;no;no;no;no;yes;yes;yes;3;4;18;18;18
GT3;T;2;3;other;other;father;1;no;no;no;no;yes;yes;yes;2;2;12;12;13
GT3;T;3;1;services;services;mother;1;no;no;no;no;no;no;yes;4;1;6;8;8
LE3;T;3;3;other;services;mother;2;no;yes;no;no;yes;yes;yes;3;5;3;5;5
GT3;T;0;2;other;other;mother;1;no;no;yes;no;no;yes;yes;3;5;13;15;15
GT3;T;3;2;services;other;mother;1;no;no;no;no;yes;no;yes;4;5;6;8;8
GT3;T;3;3;at_home;other;other;2;yes;yes;no;no;no;yes;yes;3;2;7;10;10
GT3;T;2;1;services;services;mother;1;no;no;no;no;no;no;yes;2;5;6;9;8
GT3;T;2;1;other;other;mother;1;no;no;no;yes;no;yes;no;3;3;8;9;8
GT3;T;2;1;other;other;mother;1;no;no;no;no;no;yes;yes;4;5;8;12;12
LE3;T;1;1;health;other;mother;1;no;yes;no;yes;yes;yes;yes;4;5;7;9;8
LE3;T;4;2;teacher;services;mother;4;no;yes;yes;yes;yes;yes;yes;2;4;14;12;13
LE3;A;4;3;services;at_home;mother;2;no;yes;no;no;yes;yes;yes;3;1;11;11;11
GT3;T;2;1;other;other;mother;2;no;no;no;yes;yes;yes;yes;2;4;15;14;14
LE3;T;2;2;services;services;father;4;no;no;yes;yes;yes;yes;yes;4;2;10;9;0
GT3;T;4;3;services;other;father;2;no;yes;yes;no;yes;yes;yes;1;2;17;18;18
GT3;T;4;3;teacher;other;mother;2;no;yes;yes;no;no;yes;yes;3;3;8;8;8
GT3;T;3;2;other;other;mother;3;no;no;no;yes;no;yes;no;3;3;13;12;12
GT3;T;3;3;other;other;mother;3;no;no;no;yes;no;yes;no;2;4;10;9;9
GT3;T;2;2;at_home;services;mother;3;no;yes;yes;yes;yes;yes;yes;3;3;9;10;0
LE3;A;3;4;other;other;mother;2;no;yes;yes;yes;yes;yes;yes;2;1;17;17;17
GT3;T;3;1;services;other;mother;2;no;no;yes;yes;yes;yes;yes;4;5;9;9;10
GT3;T;4;4;teacher;other;mother;2;no;no;yes;yes;yes;yes;yes;3;4;12;10;11
GT3;T;4;2;health;other;father;2;no;yes;yes;yes;yes;yes;yes;4;5;10;9;10
GT3;T;2;1;other;other;mother;2;no;yes;no;no;yes;no;yes;3;3;6;0;0
GT3;T;3;3;other;services;other;2;no;yes;yes;yes;yes;yes;yes;3;5;9;9;9
GT3;T;2;3;other;services;father;4;no;yes;yes;yes;yes;yes;yes;5;2;15;14;14
LE3;T;1;1;other;other;mother;2;no;yes;yes;no;no;yes;no;4;3;11;11;11
GT3;T;1;2;at_home;at_home;mother;2;no;yes;yes;yes;no;yes;no;5;1;15;14;14
GT3;T;2;4;at_home;health;mother;2;no;yes;yes;no;yes;yes;yes;3;1;10;10;10
LE3;T;2;2;services;other;mother;2;yes;yes;yes;no;yes;yes;yes;4;5;12;12;12
GT3;A;3;2;other;services;mother;2;no;no;no;no;no;no;yes;1;5;10;9;9
GT3;T;4;4;teacher;services;mother;1;no;no;yes;yes;yes;yes;yes;2;3;9;9;9
GT3;T;4;4;health;health;father;2;yes;yes;no;yes;yes;yes;yes;4;4;9;8;8
LE3;T;4;3;teacher;services;mother;1;no;no;yes;yes;yes;yes;yes;2;1;10;11;10
LE3;A;4;1;services;other;mother;1;no;no;yes;yes;yes;yes;yes;5;5;8;8;8
LE3;A;3;2;teacher;services;mother;1;no;no;no;no;yes;yes;yes;4;3;11;9;10
LE3;T;1;1;at_home;other;mother;4;no;yes;yes;yes;yes;yes;no;2;3;12;12;12
GT3;T;1;1;other;other;mother;2;yes;no;no;yes;yes;yes;yes;4;4;8;9;10
GT3;T;2;2;other;other;mother;2;no;yes;no;no;no;yes;yes;4;5;10;9;11
GT3;T;1;1;other;other;father;2;no;no;yes;no;no;yes;yes;3;4;12;10;11
GT3;T;2;2;at_home;at_home;mother;3;no;yes;yes;no;yes;yes;yes;3;2;18;18;19
GT3;T;1;1;services;teacher;mother;3;no;yes;yes;no;yes;yes;yes;3;3;13;12;12
