famsize;Pstatus;Medu;Fedu;Mjob;Fjob;guardian;studytime;schoolsup;famsup;paid;activities;nursery;higher;internet;freetime;health;OutMarker
LE3;T;3;3;other;other;mother;2;no;no;no;yes;no;yes;yes;3;2;3
GT3;T;3;2;other;other;mother;1;no;yes;yes;no;no;yes;yes;4;5;4
GT3;T;2;3;other;other;father;1;no;yes;no;yes;yes;yes;no;5;5;3
LE3;T;4;3;teacher;services;mother;3;no;yes;no;yes;yes;yes;yes;4;4;4
GT3;A;4;4;other;teacher;mother;3;no;yes;no;yes;yes;yes;yes;4;5;4
GT3;T;3;4;services;health;mother;3;yes;yes;yes;yes;yes;yes;yes;3;5;4
GT3;T;2;2;at_home;other;mother;1;yes;yes;yes;yes;yes;yes;no;3;2;4
LE3;T;2;2;other;other;mother;2;no;yes;no;yes;no;yes;yes;3;3;3
LE3;T;4;4;teacher;other;other;1;no;yes;no;no;no;yes;yes;4;5;4
GT3;T;4;4;services;teacher;father;2;no;yes;no;yes;yes;yes;yes;3;5;5
GT3;T;2;2;services;services;father;1;yes;yes;no;no;yes;yes;yes;4;1;3
LE3;T;2;2;other;at_home;father;2;yes;no;no;yes;yes;yes;yes;3;5;3
LE3;A;4;3;other;other;mother;2;yes;yes;yes;yes;yes;yes;yes;2;5;3
LE3;A;3;3;other;services;mother;2;no;yes;no;no;yes;yes;yes;3;3;4
GT3;T;4;3;health;services;mother;4;no;no;no;yes;yes;yes;yes;2;2;5
GT3;T;4;2;teacher;other;mother;2;no;yes;yes;no;yes;yes;no;3;5;4
GT3;T;4;4;services;teacher;father;2;yes;yes;no;yes;no;yes;yes;4;3;3
LE3;T;2;2;services;services;mother;2;no;yes;yes;no;yes;yes;yes;3;4;4
LE3;T;4;2;health;other;mother;2;no;yes;yes;no;yes;yes;yes;3;5;4
LE3;A;4;2;health;health;father;1;no;no;no;no;yes;yes;no;5;5;4
GT3;T;4;4;services;services;mother;1;yes;yes;yes;no;yes;yes;yes;3;5;3
LE3;A;3;3;other;other;mother;1;no;no;yes;no;yes;yes;yes;3;1;3
GT3;A;2;1;other;other;mother;2;no;no;yes;yes;yes;yes;yes;3;2;3
GT3;A;4;3;services;services;mother;2;no;yes;yes;yes;yes;yes;yes;3;1;4
GT3;T;4;4;teacher;health;mother;2;no;yes;no;yes;yes;yes;no;2;5;4
LE3;T;1;2;other;at_home;father;2;yes;yes;no;yes;yes;yes;yes;3;5;3
GT3;T;4;2;services;other;mother;2;no;yes;no;no;yes;yes;yes;2;5;4
GT3;T;4;4;health;teacher;mother;2;no;yes;no;yes;yes;yes;no;4;4;3
GT3;T;1;1;services;services;father;1;yes;yes;no;yes;no;yes;yes;5;5;3
LE3;T;1;2;other;services;father;2;yes;no;no;yes;yes;yes;yes;4;1;3
GT3;T;4;3;teacher;health;mother;3;yes;yes;yes;yes;yes;yes;yes;4;4;3
LE3;T;4;3;services;services;father;2;yes;no;no;yes;yes;yes;yes;4;2;3
LE3;T;4;3;teacher;services;mother;2;no;yes;no;yes;yes;yes;yes;4;1;5
GT3;A;4;4;other;services;mother;4;no;yes;no;yes;no;yes;yes;3;3;4
GT3;T;3;1;services;other;mother;4;yes;yes;yes;no;yes;yes;yes;3;5;3
LE3;T;2;2;health;services;mother;2;yes;yes;yes;no;yes;yes;yes;1;4;3
LE3;T;3;1;other;other;father;4;no;yes;no;no;no;yes;yes;4;3;5
GT3;T;3;1;other;other;father;4;no;yes;yes;no;yes;yes;yes;3;5;4
GT3;T;4;2;other;other;mother;4;no;no;no;no;yes;yes;yes;3;3;3
GT3;T;1;1;other;other;mother;2;yes;yes;no;no;no;yes;yes;3;5;3
GT3;T;3;1;other;other;mother;1;no;no;no;yes;yes;yes;no;3;5;4
GT3;T;3;3;other;services;mother;2;yes;yes;yes;yes;yes;yes;yes;3;5;4
GT3;T;4;3;teacher;other;mother;2;no;yes;yes;yes;yes;yes;yes;3;5;3
GT3;T;4;0;teacher;other;mother;4;no;no;no;yes;yes;yes;yes;4;1;4
GT3;T;2;2;other;other;mother;4;no;no;yes;no;yes;yes;yes;2;3;4
GT3;T;2;1;other;other;mother;1;yes;yes;no;yes;yes;no;yes;5;3;3
GT3;T;3;4;at_home;other;mother;2;no;yes;no;no;yes;yes;yes;4;3;2
GT3;T;2;3;other;services;father;1;yes;yes;yes;yes;no;yes;yes;2;3;3
GT3;T;2;3;other;other;mother;3;yes;no;yes;no;no;yes;yes;3;5;4
LE3;T;3;2;services;other;mother;2;no;yes;yes;no;yes;yes;yes;4;5;3
LE3;T;2;2;services;services;mother;2;no;no;yes;yes;yes;yes;yes;3;4;4
GT3;T;1;1;other;other;father;2;no;yes;no;yes;no;yes;yes;3;4;3
GT3;T;4;4;services;services;father;2;no;no;yes;no;yes;yes;yes;4;5;3
LE3;T;2;2;at_home;other;mother;2;no;yes;no;no;yes;yes;no;3;2;3
GT3;T;4;2;other;other;mother;3;no;yes;no;yes;yes;yes;yes;3;1;4
GT3;T;2;2;services;other;father;2;no;no;yes;yes;no;yes;yes;4;3;4
LE3;A;4;4;teacher;health;mother;2;no;yes;no;no;yes;yes;no;1;5;3
GT3;T;3;3;other;other;mother;3;no;yes;yes;no;yes;yes;yes;3;4;3
GT3;T;4;3;services;other;mother;1;no;no;yes;yes;yes;yes;yes;5;1;5
LE3;T;3;1;other;other;father;2;yes;yes;no;no;yes;yes;no;3;2;3
GT3;T;4;2;teacher;services;mother;2;no;yes;yes;yes;yes;yes;yes;3;1;4
LE3;T;2;2;services;health;mother;4;no;yes;no;yes;yes;yes;yes;3;4;4
GT3;T;1;1;at_home;other;mother;4;yes;yes;yes;yes;yes;yes;yes;1;1;3
GT3;T;4;3;services;other;mother;1;yes;yes;no;yes;no;yes;yes;3;4;4
GT3;T;2;1;other;other;mother;2;no;yes;yes;no;yes;yes;no;3;5;3
GT3;T;4;4;other;other;mother;1;no;no;no;yes;no;yes;yes;3;1;4
GT3;T;4;3;other;at_home;mother;3;yes;yes;yes;no;yes;yes;yes;3;3;3
GT3;T;4;4;services;services;mother;1;yes;yes;yes;yes;yes;yes;yes;5;4;3
GT3;T;4;4;services;teacher;father;3;no;yes;no;yes;yes;yes;yes;4;4;5
GT3;T;4;4;services;other;mother;1;no;yes;no;yes;no;yes;yes;3;5;3
GT3;T;3;2;services;other;mother;2;yes;yes;yes;no;yes;yes;yes;3;2;3
GT3;A;3;4;services;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;1;5
GT3;A;3;3;other;health;father;4;yes;no;no;no;yes;yes;no;3;4;3
GT3;T;2;2;other;other;mother;4;yes;yes;yes;no;yes;yes;yes;1;3;3
GT3;T;3;3;services;other;father;3;no;yes;no;yes;yes;yes;yes;3;5;5
GT3;T;4;4;other;other;father;4;no;yes;yes;yes;yes;yes;yes;3;1;3
LE3;T;4;4;health;health;mother;3;no;yes;yes;yes;yes;yes;yes;4;4;4
LE3;A;4;4;teacher;teacher;mother;1;no;no;no;yes;yes;yes;yes;5;4;5
GT3;T;3;3;services;other;father;3;yes;yes;no;yes;yes;yes;yes;1;2;3
GT3;T;2;2;at_home;other;mother;2;yes;no;no;yes;yes;yes;yes;1;5;3
LE3;T;4;2;teacher;other;mother;1;no;no;no;no;yes;yes;yes;5;3;5
GT3;T;2;1;health;services;mother;2;no;no;no;yes;yes;yes;yes;4;5;3
GT3;T;4;4;teacher;teacher;father;2;no;yes;no;yes;yes;yes;yes;4;5;4
GT3;T;4;4;other;teacher;father;2;no;yes;no;yes;yes;yes;no;4;2;4
GT3;T;3;3;other;services;father;1;no;no;no;yes;yes;yes;yes;4;5;4
GT3;T;1;3;other;other;father;2;no;yes;no;yes;yes;yes;yes;2;5;3
GT3;T;3;4;other;other;father;1;no;no;no;no;yes;yes;yes;4;4;4
GT3;T;1;2;at_home;services;mother;2;no;no;no;no;no;yes;yes;2;1;5
GT3;T;2;2;services;services;father;4;no;yes;yes;yes;yes;yes;yes;5;5;5
LE3;T;2;4;other;health;father;2;no;yes;yes;yes;yes;yes;yes;2;5;4
GT3;T;4;4;health;other;mother;1;no;yes;no;yes;yes;yes;yes;4;5;4
GT3;T;2;2;other;other;mother;2;no;no;yes;no;yes;yes;yes;4;5;3
GT3;T;3;4;services;services;father;1;yes;no;no;no;yes;yes;yes;5;5;4
LE3;A;3;4;other;other;mother;2;yes;no;no;yes;yes;yes;yes;3;1;3
GT3;T;0;1;at_home;other;other;2;no;yes;no;no;no;no;no;4;5;3
GT3;T;2;2;services;other;mother;1;no;yes;no;yes;yes;yes;yes;3;4;3
GT3;T;4;4;teacher;teacher;mother;1;no;no;yes;yes;yes;yes;yes;5;4;5
GT3;T;3;4;services;teacher;father;3;no;yes;no;no;yes;yes;yes;2;5;4
GT3;T;1;1;at_home;other;mother;1;no;yes;no;yes;no;yes;yes;3;4;3
LE3;T;2;2;other;other;father;1;no;yes;no;no;yes;yes;yes;4;5;3
GT3;A;3;4;services;other;father;1;no;no;no;no;yes;yes;yes;2;5;4
GT3;T;3;4;at_home;teacher;mother;2;no;yes;no;no;yes;yes;no;3;5;3
GT3;T;4;4;services;at_home;mother;3;no;yes;no;yes;yes;yes;yes;3;5;4
GT3;T;3;4;at_home;other;mother;2;no;no;no;no;yes;yes;no;4;5;3
GT3;A;3;3;other;other;other;1;no;yes;no;yes;no;yes;yes;3;5;2
LE3;T;1;1;services;other;mother;2;no;no;no;no;yes;yes;no;4;5;4
GT3;T;4;4;teacher;teacher;mother;1;no;no;no;yes;yes;yes;yes;3;5;5
GT3;T;4;3;teacher;services;father;4;yes;yes;no;no;yes;yes;yes;2;3;3
LE3;T;2;2;services;services;father;1;no;yes;no;yes;yes;yes;yes;3;2;3
GT3;T;4;4;teacher;services;mother;3;no;yes;yes;yes;yes;yes;yes;2;5;3
LE3;T;1;1;at_home;at_home;mother;1;no;no;no;no;yes;yes;yes;4;1;4
GT3;T;2;1;other;other;mother;1;no;yes;no;no;yes;yes;yes;4;5;2
GT3;T;1;1;other;services;father;2;no;yes;yes;no;yes;yes;yes;4;5;3
GT3;T;3;2;health;services;father;2;no;yes;no;no;yes;yes;yes;3;3;3
GT3;T;1;2;at_home;other;mother;2;no;yes;yes;no;no;yes;yes;3;5;3
GT3;T;4;4;teacher;teacher;mother;1;no;yes;no;no;yes;no;yes;3;5;3
LE3;A;2;1;services;other;mother;1;no;no;no;no;yes;yes;yes;5;5;3
LE3;T;1;1;other;other;mother;1;no;no;no;no;yes;no;yes;3;4;3
LE3;T;2;1;at_home;other;mother;1;no;no;no;yes;yes;yes;no;4;5;4
GT3;T;3;3;services;services;other;3;no;yes;yes;yes;yes;yes;yes;2;3;3
GT3;T;3;2;services;at_home;mother;1;no;yes;no;no;yes;no;yes;5;4;2
GT3;T;4;4;other;teacher;mother;1;yes;yes;no;no;yes;yes;no;2;4;4
GT3;T;2;3;at_home;services;mother;2;yes;no;yes;yes;yes;yes;no;4;1;4
LE3;T;1;2;other;other;mother;1;no;no;no;no;yes;yes;no;2;5;5
GT3;T;1;1;at_home;other;mother;1;no;yes;no;yes;no;yes;no;2;4;3
GT3;T;2;2;at_home;other;mother;1;no;no;no;no;no;yes;no;2;3;5
GT3;T;3;3;other;services;father;2;no;yes;yes;no;yes;yes;yes;5;5;3
LE3;T;2;1;at_home;other;mother;1;no;no;no;yes;yes;no;yes;3;5;3
GT3;T;3;2;other;other;mother;2;yes;yes;no;no;yes;yes;yes;4;3;2
LE3;T;1;2;other;other;mother;1;no;no;no;yes;yes;yes;no;4;5;3
GT3;T;1;3;at_home;services;father;1;no;no;no;no;yes;no;yes;3;2;3
LE3;T;1;1;other;services;mother;2;no;no;no;yes;yes;no;no;3;5;2
GT3;T;3;2;services;services;mother;1;no;yes;no;yes;no;no;no;5;2;4
GT3;T;2;2;other;other;father;2;no;no;no;no;yes;no;yes;3;4;3
GT3;T;4;2;health;services;father;2;no;no;yes;no;yes;yes;yes;2;3;4
GT3;T;2;2;other;other;mother;2;no;yes;yes;no;no;yes;yes;1;4;3
GT3;T;4;4;health;health;mother;2;no;yes;yes;no;yes;yes;yes;4;3;4
GT3;T;3;4;other;other;father;1;no;yes;no;yes;no;yes;yes;4;2;3
GT3;T;1;0;other;other;mother;2;no;yes;yes;yes;yes;yes;yes;3;3;4
LE3;T;4;4;teacher;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;5;4
GT3;T;1;3;at_home;services;mother;2;no;no;no;yes;no;yes;yes;3;3;3
LE3;T;3;3;other;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;4;3
LE3;T;4;3;teacher;other;mother;2;no;no;yes;yes;yes;yes;yes;4;4;3
GT3;T;2;2;services;other;mother;2;no;no;yes;yes;no;yes;yes;4;5;4
GT3;T;3;3;other;other;father;2;no;no;no;yes;no;yes;yes;3;4;3
GT3;T;4;2;teacher;services;mother;1;no;yes;no;yes;yes;yes;yes;3;3;3
GT3;T;4;3;other;other;mother;2;no;yes;no;yes;yes;yes;yes;2;2;3
GT3;T;4;3;teacher;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;3;3
GT3;T;3;3;services;other;mother;2;no;no;yes;yes;yes;yes;yes;2;3;4
GT3;T;2;4;services;services;father;2;no;yes;no;yes;yes;yes;no;4;5;5
LE3;T;3;3;other;other;mother;2;no;yes;no;yes;yes;yes;yes;3;1;3
GT3;T;3;2;other;other;mother;2;no;yes;yes;no;yes;yes;yes;2;1;4
GT3;T;3;3;services;services;mother;2;no;yes;no;yes;yes;yes;yes;3;4;4
GT3;T;1;2;services;services;mother;1;no;yes;yes;yes;yes;yes;yes;3;3;4
LE3;T;2;1;other;other;mother;2;no;no;yes;yes;yes;yes;yes;2;5;4
GT3;A;3;3;health;other;mother;2;no;yes;no;no;no;yes;yes;3;3;3
GT3;T;1;2;at_home;other;mother;2;no;no;no;no;yes;yes;no;1;3;3
GT3;T;2;3;services;services;mother;2;no;no;no;no;yes;yes;yes;3;2;4
GT3;T;1;1;at_home;services;mother;2;no;no;no;yes;yes;yes;yes;3;3;3
GT3;T;1;2;at_home;services;other;2;no;no;yes;yes;no;yes;yes;4;5;3
GT3;T;3;3;services;services;mother;1;no;yes;no;yes;yes;yes;yes;3;5;3
GT3;T;2;3;other;other;father;1;no;no;no;no;yes;yes;yes;3;3;4
LE3;T;2;4;services;services;father;2;no;no;no;yes;yes;yes;yes;3;5;4
GT3;T;4;4;services;teacher;mother;1;no;no;no;no;yes;yes;yes;2;5;5
LE3;T;3;3;teacher;other;father;1;no;yes;yes;yes;yes;yes;yes;3;3;3
GT3;T;4;4;services;teacher;mother;1;no;yes;no;no;yes;yes;yes;2;2;5
LE3;T;4;4;teacher;teacher;mother;2;no;yes;yes;no;yes;yes;yes;5;3;3
GT3;T;4;3;health;other;mother;2;no;yes;no;yes;yes;yes;yes;3;2;5
GT3;T;2;3;other;other;mother;2;yes;yes;yes;yes;yes;yes;no;4;4;3
GT3;T;1;1;other;other;mother;2;no;yes;yes;no;no;yes;no;4;1;3
GT3;T;2;2;other;other;mother;1;no;yes;no;no;yes;yes;yes;3;3;3
GT3;T;2;2;services;services;mother;4;no;yes;yes;yes;no;yes;yes;3;5;3
GT3;T;3;4;at_home;services;mother;3;no;yes;yes;no;yes;yes;yes;4;5;3
GT3;A;3;1;services;other;mother;2;no;yes;yes;no;yes;yes;yes;3;4;3
GT3;T;4;3;teacher;other;mother;2;no;no;yes;yes;yes;yes;yes;3;1;4
GT3;T;1;1;at_home;other;mother;1;no;yes;yes;no;yes;yes;no;3;5;3
GT3;T;4;3;teacher;other;mother;3;no;yes;yes;yes;yes;yes;yes;4;4;3
GT3;T;3;3;other;other;other;4;no;yes;yes;yes;yes;yes;yes;3;3;3
LE3;T;4;4;services;other;mother;2;no;yes;yes;no;yes;yes;yes;3;3;4
GT3;A;2;2;other;other;mother;2;yes;yes;yes;no;yes;yes;yes;3;4;4
GT3;T;2;2;services;other;mother;2;no;yes;yes;yes;yes;yes;yes;4;5;3
LE3;T;4;4;services;other;mother;1;no;yes;yes;no;yes;yes;no;2;3;3
LE3;T;3;2;other;other;mother;2;no;no;yes;no;yes;yes;yes;4;1;4
GT3;T;4;3;other;other;mother;2;no;no;yes;no;yes;yes;yes;4;1;3
LE3;T;3;3;services;health;father;2;no;yes;yes;no;yes;yes;yes;2;4;3
GT3;T;2;3;at_home;other;father;1;no;yes;yes;no;yes;yes;no;3;3;3
GT3;T;2;2;at_home;at_home;mother;3;no;yes;yes;yes;yes;yes;yes;3;4;3
GT3;T;2;1;at_home;services;mother;2;no;yes;no;yes;yes;yes;yes;2;5;3
GT3;T;1;1;at_home;other;mother;3;no;yes;no;yes;yes;yes;no;3;5;3
GT3;T;2;3;services;teacher;mother;2;yes;no;no;no;yes;yes;yes;3;3;5
GT3;T;2;2;other;other;mother;2;no;yes;yes;no;yes;yes;yes;3;4;4
GT3;T;4;4;teacher;services;mother;3;no;yes;no;yes;no;yes;yes;3;5;4
GT3;T;3;1;other;other;mother;2;no;no;no;yes;yes;yes;yes;3;4;3
GT3;T;3;2;other;other;mother;2;no;no;no;yes;no;yes;yes;3;3;5
LE3;T;2;3;services;services;father;2;no;yes;yes;no;no;yes;yes;3;3;4
LE3;T;2;1;at_home;other;mother;2;yes;yes;yes;yes;yes;yes;yes;3;3;3
GT3;A;2;1;other;other;mother;3;no;no;no;yes;yes;yes;yes;2;3;4
LE3;T;4;3;health;other;father;2;no;no;no;yes;yes;yes;yes;2;3;4
GT3;T;2;2;other;other;father;2;no;yes;yes;yes;yes;yes;yes;5;1;4
GT3;T;4;4;teacher;teacher;mother;2;yes;yes;no;yes;yes;yes;yes;5;2;4
GT3;T;4;4;health;other;father;2;no;yes;yes;yes;yes;yes;yes;2;1;4
LE3;T;1;1;other;other;mother;2;no;yes;yes;no;yes;yes;yes;4;5;3
GT3;T;3;2;at_home;other;mother;3;no;no;no;yes;yes;yes;yes;3;2;4
LE3;T;2;2;other;other;father;2;no;no;yes;yes;no;yes;yes;4;4;4
GT3;T;2;1;other;other;mother;1;no;no;no;no;yes;yes;yes;5;5;4
GT3;T;2;1;at_home;services;mother;2;no;no;no;yes;yes;yes;no;1;3;4
GT3;T;2;2;other;services;father;2;no;no;no;no;yes;no;yes;5;2;3
LE3;T;4;3;health;other;mother;2;no;no;no;yes;yes;yes;yes;5;5;4
LE3;A;4;4;teacher;other;mother;2;no;yes;yes;no;yes;yes;yes;3;4;3
LE3;T;4;3;teacher;other;mother;1;no;no;no;yes;no;yes;yes;4;3;3
GT3;T;4;4;services;services;mother;1;no;no;no;yes;yes;yes;yes;3;5;4
GT3;T;2;1;other;other;other;3;no;yes;yes;no;no;yes;yes;4;3;3
GT3;T;2;1;other;other;mother;1;no;no;no;no;yes;yes;yes;3;4;5
GT3;T;2;3;other;other;father;1;no;no;no;no;yes;yes;yes;2;2;4
GT3;T;3;1;services;services;mother;1;no;no;no;no;no;no;yes;4;1;3
LE3;T;3;3;other;services;mother;2;no;yes;no;no;yes;yes;yes;3;5;2
GT3;T;0;2;other;other;mother;1;no;no;yes;no;no;yes;yes;3;5;4
GT3;T;3;2;services;other;mother;1;no;no;no;no;yes;no;yes;4;5;3
GT3;T;3;3;at_home;other;other;2;yes;yes;no;no;no;yes;yes;3;2;3
GT3;T;2;1;services;services;mother;1;no;no;no;no;no;no;yes;2;5;3
GT3;T;2;1;other;other;mother;1;no;no;no;yes;no;yes;no;3;3;3
GT3;T;2;1;other;other;mother;1;no;no;no;no;no;yes;yes;4;5;3
LE3;T;1;1;health;other;mother;1;no;yes;no;yes;yes;yes;yes;4;5;3
LE3;T;4;2;teacher;services;mother;4;no;yes;yes;yes;yes;yes;yes;2;4;4
LE3;A;4;3;services;at_home;mother;2;no;yes;no;no;yes;yes;yes;3;1;4
GT3;T;2;1;other;other;mother;2;no;no;no;yes;yes;yes;yes;2;4;4
LE3;T;2;2;services;services;father;4;no;no;yes;yes;yes;yes;yes;4;2;3
GT3;T;4;3;services;other;father;2;no;yes;yes;no;yes;yes;yes;1;2;5
GT3;T;4;3;teacher;other;mother;2;no;yes;yes;no;no;yes;yes;3;3;3
GT3;T;3;2;other;other;mother;3;no;no;no;yes;no;yes;no;3;3;4
GT3;T;3;3;other;other;mother;3;no;no;no;yes;no;yes;no;2;4;3
GT3;T;2;2;at_home;services;mother;3;no;yes;yes;yes;yes;yes;yes;3;3;3
LE3;A;3;4;other;other;mother;2;no;yes;yes;yes;yes;yes;yes;2;1;5
GT3;T;3;1;services;other;mother;2;no;no;yes;yes;yes;yes;yes;4;5;3
GT3;T;4;4;teacher;other;mother;2;no;no;yes;yes;yes;yes;yes;3;4;4
GT3;T;4;2;health;other;father;2;no;yes;yes;yes;yes;yes;yes;4;5;3
GT3;T;2;1;other;other;mother;2;no;yes;no;no;yes;no;yes;3;3;3
GT3;T;3;3;other;services;other;2;no;yes;yes;yes;yes;yes;yes;3;5;3
GT3;T;2;3;other;services;father;4;no;yes;yes;yes;yes;yes;yes;5;2;4
LE3;T;1;1;other;other;mother;2;no;yes;yes;no;no;yes;no;4;3;4
GT3;T;1;2;at_home;at_home;mother;2;no;yes;yes;yes;no;yes;no;5;1;4
GT3;T;2;4;at_home;health;mother;2;no;yes;yes;no;yes;yes;yes;3;1;3
LE3;T;2;2;services;other;mother;2;yes;yes;yes;no;yes;yes;yes;4;5;4
GT3;A;3;2;other;services;mother;2;no;no;no;no;no;no;yes;1;5;3
GT3;T;4;4;teacher;services;mother;1;no;no;yes;yes;yes;yes;yes;2;3;3
GT3;T;4;4;health;health;father;2;yes;yes;no;yes;yes;yes;yes;4;4;3
LE3;T;4;3;teacher;services;mother;1;no;no;yes;yes;yes;yes;yes;2;1;3
LE3;A;4;1;services;other;mother;1;no;no;yes;yes;yes;yes;yes;5;5;3
LE3;A;3;2;teacher;services;mother;1;no;no;no;no;yes;yes;yes;4;3;4
LE3;T;1;1;at_home;other;mother;4;no;yes;yes;yes;yes;yes;no;2;3;4
GT3;T;1;1;other;other;mother;2;yes;no;no;yes;yes;yes;yes;4;4;3
GT3;T;2;2;other;other;mother;2;no;yes;no;no;no;yes;yes;4;5;3
GT3;T;1;1;other;other;father;2;no;no;yes;no;no;yes;yes;3;4;4
GT3;T;2;2;at_home;at_home;mother;3;no;yes;yes;no;yes;yes;yes;3;2;5
GT3;T;1;1;services;teacher;mother;3;no;yes;yes;no;yes;yes;yes;3;3;4
GT3;T;2;1;services;services;mother;3;no;no;yes;yes;yes;yes;yes;2;2;4
LE3;A;4;4;teacher;teacher;mother;2;no;yes;yes;yes;yes;yes;yes;4;2;4
GT3;T;4;2;teacher;other;mother;2;no;yes;yes;yes;yes;yes;yes;3;5;4
GT3;T;4;3;health;services;mother;3;no;yes;yes;no;yes;yes;yes;2;3;4
LE3;T;2;1;services;at_home;mother;2;no;no;no;no;yes;yes;yes;4;5;4
LE3;T;3;1;services;other;mother;4;no;yes;yes;no;yes;yes;no;1;3;5
LE3;T;3;2;services;other;mother;3;no;yes;yes;yes;yes;yes;yes;4;4;4
GT3;T;3;3;health;other;mother;1;no;yes;yes;no;yes;yes;yes;4;5;4
GT3;T;4;4;health;other;other;2;no;yes;yes;yes;yes;yes;yes;3;2;3
LE3;T;4;3;other;other;other;2;no;yes;yes;no;yes;yes;yes;4;2;3
GT3;T;4;3;other;other;father;4;no;yes;yes;no;yes;yes;yes;3;3;4
LE3;T;4;4;teacher;teacher;mother;1;no;yes;yes;no;yes;yes;yes;4;1;5
LE3;A;4;4;health;other;mother;2;no;yes;no;no;yes;yes;yes;2;4;4
LE3;T;4;4;other;teacher;father;1;no;no;yes;no;yes;yes;yes;1;5;4
GT3;T;4;2;other;other;mother;3;no;yes;yes;no;yes;yes;yes;3;3;4
GT3;T;3;2;health;health;father;4;no;yes;yes;yes;no;yes;yes;2;5;5
GT3;T;3;3;other;other;other;2;no;yes;no;yes;yes;yes;yes;4;3;4
GT3;T;2;4;services;at_home;other;2;no;yes;yes;yes;yes;yes;yes;4;3;4
GT3;A;3;2;services;other;other;1;no;no;no;yes;yes;yes;no;5;5;5
GT3;T;4;4;teacher;services;other;1;no;yes;yes;no;yes;yes;yes;3;4;3
GT3;T;3;3;other;services;father;2;no;no;no;yes;yes;yes;no;5;5;4
LE3;T;1;1;at_home;other;other;2;yes;yes;no;yes;no;yes;yes;4;3;4
LE3;T;1;2;services;services;other;2;no;no;no;yes;no;yes;no;2;3;3
GT3;T;2;1;at_home;other;other;2;no;yes;no;no;yes;no;yes;4;2;4
GT3;T;1;2;other;services;other;2;no;no;no;no;no;yes;yes;5;4;4
LE3;T;3;2;services;other;other;2;no;yes;yes;no;no;yes;yes;2;1;4
GT3;T;1;1;at_home;health;other;3;no;no;no;no;no;yes;yes;1;3;4
